CECaseNumber__c,AlarmId__c,RCA_Reason__c,RCA_Comments__c,Delay_Reason__c,Delay_Comments__c,Status,Date_Time_Resolved__c,Material1__c,Material2__c,Material3__c,Material4__c,Material5__c,Material_1_Quantity__c,Material_2_Quantity__c,Material_3_Quantity__c,Material_4_Quantity__c,Material_5_Quantity__c,GIS_Updation_Required__c,GIS_Updated__c,Material_Consumed__c,Customer_TID__c
MUM_170724_221548,,Fiber cut,18-17- fiber13-04-Infra Power,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221891,,Power issue,10-area power issue,The EB team is not allowed,,Closed,17-07-2024 20:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221856,,Power issue,10-area power issue,The EB team is not allowed,,Closed,17-07-2024 20:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221855,,Power issue,10-area power issue,The EB team is not allowed,,Closed,17-07-2024 20:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221028,,Fiber cut,18-17-16- fiber Cut / / 12-11-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221027,,Fiber cut,18-17-16- fiber Cut / / 12-11-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221025,,Fiber cut,18-17-16- fiber Cut / / 12-11-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221752,,Fiber cut,18-Area Power Fail due to Transformer Burn / /17- fiber cut 08-Infra-Fiber,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221750,,Fiber cut,18-Area Power Fail due to Transformer Burn / /17- fiber cut 08-Infra-Fiber,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221725,,Fiber cut,18-Area Power Fail due to Transformer Burn / /17- fiber cut 08-Infra-Fiber,BMC issue/tree cutting,,Closed,18-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220647,,Power issue,06-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 09:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220646,,Power issue,06-Area Power Fail,The EB team is not allowed,,Closed,17-07-2024 09:42,,,,,,,,,,,False,No,FALSE,
